Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Wing_area,Wing_shape,Wing_vein,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,1,female,1.166,2.276,2.665,0.042,0.044,0.027
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,1,male,0.978,2.244,2.461,0.014,0.03,0.05
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,2,female,1.186,2.295,2.439,0.002,0.063,0.04
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,2,male,1.052,2.283,2.517,0.037,0.015,0.061
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,3,female,1.231,2.266,2.725,0.05,0,0.033
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,1,female,0.957,2.253,2.49,0.002,0.02,0.085
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,1,male,0.87,2.22,2.408,0.016,0.045,0.114
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,2,female,1.052,2.29,2.663,0.014,0.05,0.012
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,2,male,0.902,2.266,2.478,0.03,0.01,0.126
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,3,female,0.916,2.149,2.142,0.028,0.023,0.048
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,3,male,0.887,2.279,2.519,0.015,0.069,0.213
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,1,female,0.93,2.225,2.468,0.042,0.071,0.076
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,1,male,0.891,2.39,2.671,0.042,0.081,0.095
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,2,female,0.905,2.254,2.539,0.018,0.111,0.003
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,2,male,0.844,2.323,2.611,0.024,0.039,0.14
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,3,male,0.8,2.24,2.53,0.005,0.028,0.082
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,3,1,female,,,,,,
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,3,1,male,0.931,2.25,2.56,0.039,0.114,0.102
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,3,2,male,0.855,2.245,2.622,0.035,0.113,0.03
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,3,3,male,0.882,2.234,2.805,0.021,0.09,0.063
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,1,female,1.027,2.305,2.802,0.01,0.119,0.042
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,1,male,0.866,2.226,2.629,0.014,0.027,0.118
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,2,female,0.956,2.383,2.502,0.042,0.054,0.079
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,2,male,0.864,2.299,2.499,0.004,0.032,0.033
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,3,female,1.03,2.303,2.621,0.059,0.001,0.044
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,3,male,0.798,2.265,2.494,0.017,0.021,0.06
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,1,female,1.002,2.247,2.527,0.006,0.021,0.085
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,1,male,0.897,2.261,2.5,0,0.062,0.032
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,2,female,1.032,2.324,2.518,0.052,0.057,0.076
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,2,male,0.864,2.239,2.612,0.011,0.048,0.063
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,3,female,1.02,2.288,2.62,0.008,0.017,0.015
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,3,male,0.858,2.324,2.464,0.047,0.153,0.071
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,1,female,0.976,2.293,2.494,0.001,0.012,0.026
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,1,male,0.891,2.252,2.645,0,0.026,0.212
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,2,female,0.962,2.261,2.581,0.026,0.061,0.135
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,2,male,0.914,2.301,2.516,0.05,0.008,0.085
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,3,female,0.972,2.285,2.587,0.049,0.03,0.127
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,3,male,0.898,2.263,2.666,0.042,0.01,0.093
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,1,female,0.994,2.361,2.564,0,0.014,0.033
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,1,male,0.873,2.245,2.567,0.024,0.01,0.107
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,2,female,1.001,2.337,2.494,0.004,0.017,0.04
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,2,male,0.868,2.251,2.548,0.021,0.034,0.019
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,3,male,0.905,2.329,2.662,0,0.005,0.041
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,1,female,0.964,2.213,2.691,0.005,0.022,0.122
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,1,male,0.88,2.259,2.623,0.014,0,0.01
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,2,female,0.968,2.29,2.672,0.027,0.041,0.09
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,2,male,0.877,2.267,2.563,0.016,0.057,0.153
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,3,female,1.037,2.393,2.618,0.053,0.082,0.004
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,3,male,0.901,2.307,2.528,0.013,0.008,0.164
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,9,1,female,1.043,2.246,2.723,0.005,0.055,0.137
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,9,1,male,0.831,2.252,2.538,0.023,0.021,0.048
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,9,2,female,1.017,2.344,2.52,0.037,0.096,0.08
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,9,2,male,0.801,2.257,2.469,0.001,0.019,0.035
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,9,3,female,1.039,2.277,2.442,0.02,0.003,0.066
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,9,3,male,0.822,2.13,2.398,0.001,0.011,0.028
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,10,1,female,1.107,2.318,2.453,0.002,0.039,0.126
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,10,1,male,0.867,2.309,2.554,0.008,0.027,0.006
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,10,2,female,0.881,2.187,2.287,0.009,0.046,0.054
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,10,2,male,0.901,2.252,2.713,0.013,0.033,0.005
D.aldrichi,Binjour,-25.52,151.45,1994,1994,25,10,3,male,0.821,2.191,2.591,0.001,0.048,0.138
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,1,1,female,0.817,2.277,2.721,0.022,0.003,0.151
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,1,1,male,0.744,2.242,2.607,0.014,0.028,0
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,1,2,female,0.756,2.179,2.516,0.021,0.023,0.14
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,1,2,male,0.76,2.209,2.645,0.027,0.003,0.114
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,1,3,female,0.86,2.242,2.616,0.009,0.027,0.022
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,1,3,male,0.783,2.267,2.556,0.014,0.009,0.068
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,2,1,female,0.892,2.249,2.55,0.011,0.053,0.045
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,2,1,male,0.765,2.285,2.522,0.019,0.027,0.299
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,2,2,female,0.918,2.276,2.494,0.003,0.007,0.026
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,2,2,male,0.784,2.192,2.652,0.004,0.02,0.294
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,2,3,female,0.819,2.261,2.702,0.028,0.008,0.017
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,2,3,male,0.787,2.283,2.484,0.006,0.022,0.067
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,3,1,female,0.848,2.317,2.645,0.031,0.009,0.104
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,3,1,male,0.735,2.276,2.883,0.025,0.006,0.019
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,3,2,female,0.775,2.206,2.449,0.002,0.036,0.154
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,3,2,male,0.79,2.253,2.651,0.024,0.022,0.006
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,3,3,male,0.748,2.354,2.647,0.02,0.015,0.08
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,4,1,female,0.906,2.231,2.73,0.013,0.012,0.08
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,4,1,male,0.704,2.11,2.564,0.025,0.013,0.001
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,4,2,female,0.882,2.254,2.664,0.003,0.008,0.047
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,4,2,male,0.71,2.266,2.689,0.024,0.042,0.095
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,4,3,female,0.862,2.302,2.733,0.013,0.004,0.018
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,4,3,male,0.764,2.166,2.716,0.007,0.01,0.176
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,5,1,female,0.827,2.222,2.561,0.008,0.06,0.001
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,5,1,male,0.746,2.289,2.48,0.044,0.161,0.071
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,5,2,female,0.834,2.283,2.319,0.01,0.027,0.002
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,5,2,male,0.786,2.232,2.816,0.018,0.024,0.075
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,5,3,female,0.876,2.281,2.749,0.014,0.001,0.051
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,5,3,male,0.729,,2.828,,,0.108
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,6,1,female,0.873,2.271,2.752,0.036,0.093,0.071
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,6,1,male,0.736,2.243,2.37,0.052,0.103,0.078
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,6,2,female,0.896,2.231,2.681,0.016,0.045,0.069
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,6,2,male,0.708,2.211,2.644,0.017,0.066,0.114
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,6,3,female,0.794,2.256,2.591,0.011,0.035,0.044
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,7,1,female,0.875,2.259,2.57,0.02,0.036,0.028
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,7,1,male,0.682,2.208,2.57,0.041,0.121,0.024
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,7,2,female,0.911,2.272,2.81,0.009,0.089,0.042
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,7,2,male,0.7,2.207,2.447,0.004,0.039,0.046
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,7,3,female,0.773,2.254,2.269,0.021,0.007,0.096
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,7,3,male,0.764,2.307,2.586,0.004,0.021,0.094
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,8,1,female,0.804,2.168,2.547,0.001,0.001,0.119
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,8,1,male,0.723,2.236,2.742,0.002,0.027,0.125
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,8,2,female,0.869,2.211,2.343,0.014,0.144,0.099
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,8,2,male,0.788,2.169,2.619,0.026,0.056,0.057
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,8,3,female,0.85,2.379,2.608,0.001,0.042,0.034
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,8,3,male,0.804,2.246,2.623,0.004,0.011,0.047
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,1,female,0.766,2.193,2.533,0.005,0.021,0.059
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,1,male,0.696,,2.291,,,0.044
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,2,female,0.75,2.199,2.358,0.033,0.041,0.077
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,2,male,0.729,2.11,2.528,0.005,0.052,0.087
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,3,female,0.881,2.347,2.59,0.032,0.08,0.065
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,3,male,0.718,2.204,2.344,0.001,0.001,0.107
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,1,female,0.672,2.032,2.211,0.04,0.052,0.21
